LocationName,AverageTemperature,PredatorDensity,FoodAvailability,WaterSources,HumanActivity,Vegetation,LandArea
Quiet Spring,-4.5,medium,medium,far,high,cliff,669
Sunny Forest,23.0,low,medium,far,moderate,meadow,332
Misty Dunes,38.8,medium,low,far,high,forest,942
Bright Spring,23.0,high,high,close,moderate,desert,973
Blue Spring,7.4,low,medium,far,moderate,desert,768
Shady Glade,32.4,high,medium,close,high,urban,566
Blue Lake,34.6,low,high,close,moderate,cliff,517
Gopher Lake,24.1,medium,high,far,low,cliff,461
Windy Fields,-4.7,high,low,far,moderate,meadow,261
Bustling Dunes,4.6,low,medium,far,high,meadow,604
Lonely Fields,-2.9,low,low,far,high,urban,242
Gopher Dunes,25.0,high,medium,close,high,meadow,502
Noisy Island,31.7,low,medium,close,low,meadow,524
Dark Creek,35.1,low,medium,close,low,desert,941
Misty Prairie,27.7,low,low,far,low,urban,380
Warm Pond,19.9,high,medium,far,moderate,forest,533
Sunny Meadow,12.5,medium,medium,far,low,forest,226
Noisy Prairie,14.4,medium,high,far,high,urban,171
Peaceful Spring,24.0,low,low,close,moderate,urban,674
Shady Island,20.2,high,low,far,low,forest,667
Sunny Park,38.5,high,low,close,high,urban,344
Cool Valley,24.4,medium,low,far,high,desert,259
Dark Bay,33.5,low,high,close,moderate,cliff,926
Gopher Fields,34.1,high,low,far,low,urban,234
Bustling Cove,6.2,medium,low,close,moderate,meadow,395
Silver Glade,31.3,high,low,far,low,forest,793
Bright Cliffs,6.0,low,low,close,low,urban,683
Hidden Cove,35.2,high,high,far,moderate,forest,702
Hidden Island,3.3,low,low,close,high,urban,774
Misty River,22.2,low,high,close,low,urban,209
Warm Dunes,9.1,low,low,close,low,urban,180
Gopher Park,20.1,medium,low,far,high,urban,304
Bright Dunes,10.0,high,high,close,high,urban,256
Cool Forest,29.4,high,high,close,high,cliff,988
Golden Glade,25.2,high,low,far,low,forest,784
Lonely Grove,11.2,low,medium,far,moderate,desert,700
Peaceful Fields,21.2,high,low,far,moderate,forest,405
Noisy River,12.8,low,medium,close,high,meadow,691
Noisy Cove,21.0,medium,low,close,moderate,urban,762
Misty Forest,9.9,medium,low,far,low,desert,815
Shady Cliffs,-3.5,low,high,close,high,meadow,630
Misty Fields,13.3,medium,medium,far,moderate,meadow,190
Windy Hills,36.2,medium,medium,far,high,desert,926
Lonely Creek,4.4,high,high,close,low,cliff,451
Windy River,12.7,high,high,far,high,cliff,790
Silver Grove,38.1,high,high,close,low,meadow,497
Misty Park,24.1,high,medium,far,moderate,meadow,744
Bright Meadow,-2.5,low,medium,close,moderate,meadow,630
Windy Lake,-0.6,high,low,far,moderate,meadow,344
Quiet Creek,22.8,medium,high,close,moderate,meadow,315
Bustling Glade,12.6,high,high,close,moderate,meadow,669
Windy Island,15.8,low,low,far,moderate,desert,954
Dark Valley,15.8,medium,high,far,high,desert,774
Dark Park,12.1,low,medium,close,moderate,desert,842
Silver Bay,-8.2,high,low,far,moderate,meadow,372
Misty Cove,38.2,high,medium,close,low,desert,503
Quiet Haven,-6.1,high,low,far,moderate,meadow,488
Noisy Meadow,-5.7,medium,high,close,moderate,desert,369
Bright Fields,35.8,high,medium,close,high,cliff,988
Noisy Creek,2.2,medium,medium,far,moderate,cliff,287
Dark Haven,20.0,low,medium,close,high,meadow,414
Happy Lake,8.0,high,high,close,moderate,forest,921
Windy Valley,21.7,medium,low,far,moderate,desert,807
Quiet Glade,-1.1,high,high,far,high,forest,129
Golden Cove,-1.0,low,medium,far,high,desert,875
Warm Hills,0.8,medium,medium,far,low,meadow,611
Peaceful Meadow,11.3,medium,low,close,high,urban,119
Sunny Prairie,27.8,low,medium,far,high,forest,453
Warm Creek,20.8,high,medium,close,low,urban,570
Windy Spring,33.9,medium,high,far,high,desert,423
Green Pond,-8.4,high,high,close,low,cliff,850
Hidden Glade,6.2,low,medium,close,low,cliff,149
Windy Dunes,24.8,medium,medium,close,high,urban,518
Silver River,27.6,low,low,far,high,urban,898
Happy Hills,36.8,low,medium,close,high,urban,692
Happy Park,38.6,high,medium,far,low,desert,369
Lonely Bay,-3.9,low,high,close,low,desert,338
Hidden Spring,2.1,high,low,far,moderate,cliff,294
Hidden Valley,1.4,high,medium,far,high,forest,873
Golden Pond,24.3,medium,low,close,low,meadow,731
Peaceful Haven,18.8,low,medium,close,moderate,cliff,287
Silver Spring,-7.7,medium,high,close,high,cliff,152
Windy Prairie,11.8,low,high,far,high,urban,590
Gopher Grove,24.1,medium,medium,far,high,cliff,178
Hidden Hills,23.5,medium,high,far,high,desert,984
Quiet Fields,8.4,high,medium,close,high,forest,150
Cool Creek,1.6,low,low,far,high,forest,389
Peaceful Pond,12.2,high,low,far,high,forest,227
Cool Spring,21.1,high,medium,close,high,forest,638
Gopher Hills,31.5,low,high,far,low,cliff,768
Shady Spring,21.7,medium,medium,far,moderate,cliff,585
Windy Forest,12.6,low,low,close,moderate,urban,827
Silver Cliffs,28.2,medium,low,far,low,forest,623
Bright Forest,34.1,medium,medium,far,high,forest,610
Warm Forest,-4.4,low,high,close,moderate,desert,976
Golden Hills,13.5,high,low,far,high,urban,369
Gopher Cliffs,5.0,medium,high,close,moderate,meadow,672
Shady Park,0.3,medium,medium,far,low,desert,788
Blue River,14.0,high,high,far,high,urban,538
Noisy Hills,26.0,low,low,close,low,meadow,298
Misty Island,12.5,low,high,close,high,cliff,550
Noisy Cliffs,8.6,low,high,far,moderate,desert,700
Noisy Haven,23.1,medium,high,far,moderate,forest,674
Peaceful Park,-1.6,high,low,far,moderate,cliff,549
Blue Pond,2.8,medium,low,close,high,cliff,391
Warm Haven,39.6,high,medium,far,high,desert,240
Misty Haven,12.6,low,low,close,high,forest,186
Dark Spring,15.4,medium,medium,far,moderate,urban,833
Windy Cove,3.0,medium,low,close,high,meadow,194
Bright Island,15.6,low,low,far,moderate,urban,951
Gopher Cove,9.4,high,medium,close,low,forest,733
Warm River,20.5,high,low,far,high,urban,811
Green Meadow,12.1,high,medium,close,high,urban,312
Cool Pond,-1.1,medium,high,far,low,urban,970
Hidden Prairie,7.9,low,low,far,high,meadow,675
Cool River,23.5,medium,medium,close,low,urban,691
Shady Hills,1.5,high,high,close,high,desert,405
Blue Haven,26.7,high,medium,far,high,forest,465
Dark Pond,12.8,low,medium,far,high,desert,940
Silver Lake,6.0,high,low,close,low,meadow,448
Dark Cliffs,-2.8,high,low,far,moderate,meadow,457
Blue Cliffs,38.8,high,low,far,low,urban,353
Silver Dunes,28.4,medium,low,close,moderate,urban,301
Peaceful River,-3.8,high,low,far,high,cliff,280
Green Glade,18.3,medium,high,close,high,urban,830
Peaceful Lake,7.8,low,high,far,low,meadow,927
Green River,31.0,low,high,far,low,urban,408
Cool Hills,-0.2,low,high,far,moderate,desert,171
Misty Hills,23.5,low,low,close,low,meadow,313
Windy Glade,4.7,medium,medium,far,high,meadow,884
Blue Cove,25.8,medium,medium,far,high,meadow,207
Hidden River,26.4,low,low,close,moderate,cliff,961
Lonely Valley,-3.9,low,low,far,moderate,desert,312
Sunny Dunes,8.9,medium,medium,close,low,urban,773
Sunny Fields,26.9,low,high,close,low,meadow,943
Golden Bay,1.7,low,medium,close,low,forest,421
Misty Glade,-3.3,low,low,close,high,urban,878
Blue Island,10.9,high,high,close,low,urban,600
Silver Creek,15.5,high,low,close,low,desert,205
Gopher Bay,27.7,high,low,close,low,urban,776
Cool Bay,28.1,low,high,far,moderate,desert,492
Bustling Hills,0.2,low,high,far,moderate,meadow,760
Bustling Valley,15.6,high,low,close,high,forest,960
Noisy Glade,32.7,medium,high,close,high,desert,700
Green Cove,9.7,low,low,close,low,meadow,257
Hidden Dunes,23.0,low,medium,close,low,urban,937
Bustling Spring,35.6,high,high,close,moderate,urban,147
Silver Fields,32.6,medium,low,far,moderate,forest,500
Sunny Cliffs,35.0,medium,low,close,low,cliff,799
Gopher Haven,2.6,low,low,far,low,cliff,990
Golden Valley,22.0,low,high,far,low,cliff,124
Dark River,-0.9,medium,high,far,high,urban,310
Golden Lake,39.6,low,medium,close,high,meadow,454
Bright Hills,6.3,low,medium,close,low,forest,259
Silver Pond,15.6,medium,medium,far,moderate,cliff,947
Peaceful Dunes,39.0,high,high,far,low,cliff,414
Sunny Island,-6.6,low,high,close,moderate,cliff,873
Lonely Glade,20.5,high,high,close,high,urban,322
Happy Island,-5.9,medium,medium,far,moderate,desert,982
Peaceful Bay,15.1,high,high,close,moderate,forest,428
Shady Lake,35.5,low,high,far,low,urban,445
Blue Forest,24.1,low,high,close,moderate,forest,627
Bustling Cliffs,38.6,low,high,far,moderate,desert,269
Green Lake,39.3,low,high,far,high,cliff,351
Happy Cove,10.2,low,high,close,low,urban,238
Bright Glade,33.7,low,high,far,high,meadow,363
Cool Meadow,4.2,medium,high,close,high,urban,623
Lonely Cliffs,24.5,medium,low,close,low,desert,422
Cool Cliffs,25.5,high,medium,far,high,desert,272
Gopher Glade,28.2,medium,low,close,high,forest,548
Lonely Cove,8.6,low,high,close,low,urban,823
Dark Glade,18.9,low,high,close,low,urban,845
Sunny Bay,16.8,low,low,close,moderate,forest,836
Green Creek,-5.7,high,medium,far,moderate,cliff,174
Silver Cove,38.7,low,low,close,low,urban,725
Warm Meadow,-1.1,low,low,close,high,cliff,257
Dark Lake,37.7,low,high,close,moderate,urban,480
Bustling Bay,4.0,medium,low,far,moderate,desert,370
Bustling Island,6.2,low,low,far,high,forest,106
Shady Valley,33.8,medium,medium,close,low,desert,1000
Green Fields,-7.0,low,high,far,high,desert,107
Misty Lake,37.3,low,low,far,high,desert,174
Cool Cove,39.2,low,low,far,low,desert,872
Noisy Forest,20.9,medium,medium,far,low,forest,462
