LocationName,AverageTemperature,NrOfPredators,NrFoodSources,NrWaterSources,NrHumans,VegetationType,LandSize
Flooded Loch,5.84,17,3,0,22,Wetland,64
Arid Wasteland,35.24,15,3,1,49,Desert,667
Dark Jungle,36.8,19,13,10,3,Forest,660
Green Highlands,12.75,19,4,2,2,Hills,309
Marshy Loch,3.45,19,11,1,2,Wetland,864
Open Grassland,13.22,15,11,1,49,Fields,691
Barren Wasteland,35.02,18,9,1,19,Desert,409
Sprawling Savanna,38.96,19,9,4,7,Savanna,116
Open Grassland,7.57,20,5,1,0,Fields,766
Sprawling Steppe,32.16,16,16,8,34,Savanna,406
Swampy Swamp,23.91,16,16,10,38,Wetland,13
Peaceful Clearing,20.64,15,14,5,44,Meadow,446
Lush Grassland,26.32,17,10,8,30,Fields,719
Quiet Meadow,28.47,19,14,8,5,Meadow,943
Windy Uplands,26.6,18,12,3,16,Hills,555
Wild Steppe,5.37,16,7,7,39,Savanna,211
Golden Basin,30.34,15,9,0,46,Desert,128
Open Steppe,5.2,18,10,5,14,Savanna,333
Flowering Glade,23.44,19,6,5,4,Meadow,653
Green Hills,33.92,19,12,7,5,Hills,946
Green Field,26.48,16,9,5,35,Fields,997
Golden Prairie,0.58,19,11,7,4,Savanna,23
Green Hills,26.24,18,6,4,18,Hills,103
Marshy Wetland,23.15,17,9,2,21,Wetland,245
Sprawling Plain,22.35,17,9,8,23,Savanna,244
Green Ridges,3.2,19,5,0,10,Hills,902
Serene Valley,21.69,19,11,10,3,Meadow,714
Marshy Wetland,37.45,16,16,9,38,Wetland,674
Dense Jungle,0.82,17,5,3,22,Forest,299
Flowering Meadow,22.03,16,15,6,31,Meadow,651
Wide Field,5.81,15,10,1,50,Fields,551
Wild Savanna,27.71,16,12,4,32,Savanna,753
Wide Grassland,6.86,18,14,5,17,Fields,82
Green Farmland,24.13,15,12,4,45,Fields,584
Sprawling Prairie,1.99,15,13,10,44,Savanna,405
Golden Dunes,34.69,18,10,1,18,Desert,332
Wide Grassland,38.89,18,5,5,13,Fields,926
Green Highlands,0.48,19,9,4,7,Hills,763
Hot Basin,34.25,19,0,0,9,Desert,473
Marshy Swamp,8.33,17,11,9,27,Wetland,641
Peaceful Valley,29.65,18,12,5,18,Meadow,435
Windy Ridges,1.4,19,9,9,5,Hills,902
Rolling Ridges,2.02,15,10,8,41,Hills,634
Rolling Uplands,7.59,16,3,0,38,Hills,198
Flowering Meadow,32.5,16,13,5,36,Meadow,789
Hot Expanse,36.07,20,10,0,0,Desert,700
Green Hills,7.78,16,15,8,36,Hills,155
Sunny Grassland,27.09,20,12,8,0,Fields,782
Windy Knolls,16.9,16,9,0,37,Hills,361
Flooded Swamp,27.11,18,17,8,17,Wetland,657
Vast Expanse,36.25,19,6,0,7,Desert,677
Sunny Farmland,37.13,16,15,5,39,Fields,459
Golden Savanna,38.15,17,16,10,26,Savanna,437
Ancient Woods,36.59,17,15,9,28,Forest,735
Golden Savanna,11.25,15,16,7,41,Savanna,704
Open Steppe,9.55,18,0,0,20,Savanna,867
Open Steppe,35.38,16,9,9,31,Savanna,486
Dark Grove,31.83,17,15,6,30,Forest,290
Wild Steppe,22.95,19,13,3,10,Savanna,236
Open Steppe,16.03,16,6,4,37,Savanna,97
Dense Thicket,27.61,15,6,4,41,Forest,563
Swampy Bog,9.0,16,8,2,37,Wetland,318
Enchanted Forest,5.4,19,12,9,6,Forest,978
Sunny Grassland,20.04,15,17,7,50,Fields,194
Endless Savanna,18.29,16,9,6,32,Savanna,553
Open Grassland,12.82,15,8,3,45,Fields,431
Flowering Creek,28.65,15,6,6,48,Meadow,631
Wild Steppe,9.69,15,15,9,46,Savanna,833
Serene Clearing,23.23,18,5,5,13,Meadow,878
Green Uplands,20.49,18,15,8,15,Hills,940
Hot Dunes,35.33,17,3,1,27,Desert,749
Ancient Jungle,12.18,16,14,4,37,Forest,884
Dark Forest,23.87,15,11,2,50,Forest,31
Golden Prairie,23.5,18,10,4,17,Savanna,592
Green Farmland,27.41,19,6,2,6,Fields,419
Rolling Ridges,9.71,15,10,2,42,Hills,61
Green Pasture,30.88,15,5,3,44,Fields,681
Vast Dunes,34.18,17,1,0,22,Desert,865
Wild Prairie,2.4,18,13,6,15,Savanna,451
Foggy Bog,10.76,16,13,7,34,Wetland,170
Flooded Swamp,19.37,19,12,10,7,Wetland,335
Quiet Meadow,9.94,17,6,4,28,Meadow,559
Windy Hills,25.04,18,1,0,14,Hills,416
Sprawling Steppe,27.28,15,1,0,49,Savanna,909
Golden Expanse,37.56,18,6,0,20,Desert,6
Enchanted Woods,29.48,18,12,9,18,Forest,493
Sprawling Plain,39.44,19,15,5,10,Savanna,504
Rolling Uplands,31.25,16,15,7,38,Hills,581
Open Farmland,18.12,17,4,0,30,Fields,1000
Green Uplands,39.84,18,14,9,18,Hills,762
Lush Field,37.99,17,7,4,29,Fields,405
Windy Knolls,19.34,15,6,4,41,Hills,575
Windy Hills,14.32,18,4,4,19,Hills,674
Open Clearing,15.89,18,10,0,18,Meadow,928
Windy Knolls,25.63,16,11,9,37,Hills,143
Enchanted Forest,28.05,15,4,0,42,Forest,319
Swampy Swamp,29.44,16,11,8,35,Wetland,169
Sprawling Prairie,4.26,18,5,0,16,Savanna,140
Golden Savanna,11.94,17,2,0,25,Savanna,867
Flowering Creek,11.69,19,16,9,6,Meadow,152
Lush Farmland,5.39,16,7,2,39,Fields,300
Open Steppe,5.73,17,12,10,29,Savanna,415
Sprawling Plain,39.44,15,13,3,48,Savanna,367
Golden Wasteland,34.41,19,11,2,9,Desert,942
Rolling Hills,15.21,19,11,2,9,Hills,738
Steep Uplands,36.37,18,17,7,11,Hills,838
Ancient Jungle,27.63,19,5,0,8,Forest,264
Wide Farmland,21.21,15,10,4,42,Fields,702
Endless Prairie,26.99,19,9,2,3,Savanna,665
Wide Grassland,27.2,18,16,9,17,Fields,905
Ancient Jungle,26.95,15,11,9,49,Forest,838
Peaceful Glade,26.42,18,8,5,17,Meadow,615
Wide Pasture,31.95,16,15,8,38,Fields,158
Muddy Wetland,31.21,16,16,10,31,Wetland,22
Green Pasture,15.45,15,12,9,46,Fields,170
Hot Wasteland,36.45,17,1,0,23,Desert,319
Quiet Creek,35.46,15,8,7,47,Meadow,854
Wild Savanna,24.5,17,4,2,30,Savanna,244
Marshy Swamp,6.47,19,3,1,1,Wetland,625
Green Uplands,7.45,17,9,7,26,Hills,57
Dark Forest,32.67,16,14,7,31,Forest,481
Sprawling Savanna,22.05,17,16,10,25,Savanna,270
Lush Farmland,7.97,18,10,2,14,Fields,867
Flowering Clearing,11.78,17,6,6,24,Meadow,96
Arid Basin,37.84,16,2,0,32,Desert,757
Rolling Hills,9.18,17,15,6,28,Hills,709
Serene Glade,2.44,18,8,3,18,Meadow,86
Open Savanna,15.59,17,16,6,25,Savanna,33
Golden Steppe,13.61,17,11,3,24,Savanna,92
Sunny Grassland,24.26,15,9,9,43,Fields,635
Swampy Wetland,6.29,15,6,5,46,Wetland,214
Flooded Wetland,7.52,16,8,1,35,Wetland,579
Flowering Clearing,31.3,18,17,10,15,Meadow,49
Sprawling Prairie,20.84,15,13,10,41,Savanna,191
Steep Uplands,18.98,19,5,4,5,Hills,835
Open Plain,22.4,19,4,2,9,Savanna,429
Quiet Valley,33.42,18,13,8,12,Meadow,137
Open Farmland,27.14,20,14,4,0,Fields,736
Windy Hills,9.62,17,10,5,30,Hills,423
Serene Glade,34.58,19,9,3,3,Meadow,281
Enchanted Forest,30.56,18,10,8,12,Forest,775
Lush Farmland,14.07,19,18,9,2,Fields,161
Dense Jungle,16.76,17,12,5,30,Forest,212
Green Knolls,31.31,15,12,5,46,Hills,782
Green Hills,13.39,15,11,1,41,Hills,235
Quiet Creek,32.84,15,8,6,47,Meadow,90
Open Plains,37.29,18,20,10,11,Fields,888
Hot Wasteland,37.81,19,5,0,6,Desert,980
Dark Forest,6.25,20,12,6,0,Forest,836
Steep Hills,9.03,15,15,7,45,Hills,507
Sprawling Steppe,10.11,15,12,9,45,Savanna,282
Open Creek,27.86,18,13,6,15,Meadow,116
Wide Farmland,16.57,19,8,4,3,Fields,556
Serene Clearing,22.63,16,8,4,36,Meadow,426
Muddy Loch,3.87,17,14,10,21,Wetland,932
Vast Expanse,38.43,16,2,2,39,Desert,892
Marshy Marsh,24.55,18,11,1,20,Wetland,639
Muddy Wetland,33.01,18,18,8,12,Wetland,725
Green Field,4.32,19,8,0,3,Fields,427
Steep Highlands,27.81,17,14,7,24,Hills,391
Misty Jungle,13.42,18,9,1,11,Forest,986
Muddy Bog,28.12,18,3,1,16,Wetland,829
Wide Farmland,3.34,19,5,1,1,Fields,934
Windy Ridges,16.5,18,9,3,17,Hills,945
Golden Steppe,12.9,17,6,6,28,Savanna,930
Green Pasture,29.76,18,8,6,14,Fields,673
Sunny Grassland,19.5,17,8,8,25,Fields,995
Open Glade,11.0,19,17,7,4,Meadow,640
Open Plains,19.33,17,10,3,26,Fields,508
Steep Highlands,9.1,19,18,8,1,Hills,903
Open Plains,10.81,18,11,2,20,Fields,416
Open Plains,1.41,18,4,1,14,Fields,233
Misty Woods,8.08,18,5,1,14,Forest,543
Swampy Marsh,21.13,15,4,3,47,Wetland,982
Sunny Plains,6.59,16,11,7,39,Fields,306
Green Plains,33.41,15,12,3,44,Fields,246
Wild Savanna,10.6,16,5,5,34,Savanna,87
Sunny Field,29.86,19,4,0,10,Fields,674
Dense Woods,25.17,16,8,0,34,Forest,25
Sunny Plains,16.8,15,6,5,43,Fields,47
Barren Dunes,37.66,15,4,2,46,Desert,491
Peaceful Meadow,32.45,18,4,3,12,Meadow,825
Green Highlands,10.76,19,2,2,5,Hills,858
Golden Prairie,28.1,15,6,1,42,Savanna,620
Windy Uplands,24.95,16,11,1,37,Hills,979
Hot Expanse,33.57,15,9,2,50,Desert,750
