LocationName,AverageTemperature,NrOfPredators,NrFoodSources,NrWaterSources,NrHumans,VegetationType,LandSize
Swampy Marsh,5.12,16,9,2,36,Wetland,866
Open Plain,38.22,18,15,9,20,Savannah,953
Marshy Bog,7.23,15,7,4,48,Wetland,599
Windy Peaks,17.1,17,11,5,28,Hills,272
Enchanted Glade,1.99,20,4,2,0,Meadow,120
Green Woods,21.19,19,15,8,5,Forest,564
Golden Prairie,3.62,15,2,2,44,Savannah,123
Enchanted Grassland,12.67,17,6,4,23,Savannah,6
Enchanted Hills,3.08,17,16,6,27,Hills,738
Enchanted Field,27.46,18,19,10,13,Fields,630
Barren Expanse,32.18,15,3,0,50,Desert,713
Lush Plains,0.54,16,8,5,39,Fields,260
Golden Savannah,36.49,18,6,4,11,Savannah,291
Marshy Lakes,24.28,20,8,2,0,Wetland,632
Fertile Pasture,13.46,17,5,5,26,Fields,526
Windy Hills,22.53,18,2,1,20,Hills,555
Vast Dunes,37.59,18,11,2,16,Desert,438
Enchanted Plains,15.52,16,11,8,37,Fields,537
Ancient Woodland,6.95,15,5,5,44,Forest,544
Enchanted Stretch,11.11,15,12,2,46,Savannah,793
Windy Highlands,3.66,18,9,4,11,Hills,295
Sprawling Plain,2.87,15,5,1,50,Savannah,330
Ancient Grove,27.24,15,9,6,45,Forest,143
Wide Fields,1.91,17,10,4,21,Fields,651
Sprawling Steppe,20.71,19,10,10,4,Savannah,86
Dark Thicket,26.6,17,17,7,26,Forest,758
Misty Jungle,1.01,16,11,9,39,Forest,408
Open Meadows,32.5,17,11,3,25,Meadow,518
Enchanted Waste,34.26,17,1,1,27,Desert,395
Muddy Bogs,22.34,19,4,4,3,Wetland,554
Open Valley,38.2,19,13,6,7,Meadow,444
Flowering Valley,1.09,18,8,7,16,Meadow,160
Rolling Peaks,13.8,18,9,9,18,Hills,678
Windy Mountains,25.3,19,12,9,6,Hills,748
Open Plains,17.51,18,13,8,11,Fields,11
Dry Basin,33.75,17,9,0,23,Desert,36
Ancient Woodlands,23.65,17,17,9,27,Forest,946
Open Farmland,20.62,16,7,0,32,Fields,253
Green Uplands,9.51,15,5,2,45,Hills,68
High Peaks,31.39,18,11,4,19,Hills,243
Dark Jungle,14.96,19,12,9,6,Forest,891
Enchanted Plain,23.95,15,5,2,49,Savannah,704
Sunny Pasture,25.41,19,14,6,7,Fields,339
Green Woodland,16.9,18,14,4,14,Forest,899
Flooded Wetland,28.45,19,10,3,3,Wetland,818
High Cliffs,9.57,15,12,7,50,Hills,524
Wild Plain,12.95,19,5,2,4,Savannah,124
Enchanted Pasture,4.03,19,11,7,7,Fields,530
Golden Stretch,21.79,17,11,2,22,Savannah,425
Dense Canopy,26.03,19,14,8,5,Forest,999
Cursed Lakes,7.63,15,13,5,43,Wetland,701
Enchanted Cliffs,3.5,16,13,9,31,Hills,522
Sprawling Savannah,1.41,18,13,8,14,Savannah,318
Open Steppe,18.68,19,10,5,7,Savannah,434
Enchanted Meadows,0.16,16,11,5,35,Meadow,143
Serene Creek,13.48,15,7,1,46,Meadow,9
Rolling Highlands,32.89,16,7,4,34,Hills,224
Enchanted Thicket,17.08,15,6,5,42,Forest,730
Endless Stretch,4.11,19,10,1,9,Savannah,500
Hot Badlands,38.08,15,2,2,45,Desert,978
Sandy Sands,32.82,17,1,0,25,Desert,85
Enchanted Wetland,8.67,19,12,8,3,Wetland,126
Cursed Marsh,13.98,16,13,5,33,Wetland,427
Lush Pasture,13.6,20,0,0,0,Fields,799
Steep Hills,8.37,15,9,9,44,Hills,215
Quiet Clearing,35.21,17,14,4,23,Meadow,983
Golden Plain,1.27,16,7,5,37,Savannah,297
Endless Prairie,8.08,18,9,4,16,Savannah,462
Green Cliffs,17.38,15,6,4,47,Hills,170
Cursed Wetlands,27.6,18,11,7,11,Wetland,865
Enchanted Peaks,3.07,19,12,8,6,Hills,277
Flooded Loch,14.86,18,5,5,17,Wetland,299
Quiet Meadow,34.96,18,13,7,20,Meadow,121
Lush Fields,27.09,20,10,8,0,Fields,945
Enchanted Steppe,21.12,18,12,6,19,Savannah,896
Enchanted Badlands,36.81,18,6,1,12,Desert,109
Fertile Plain,13.88,19,8,0,3,Fields,700
Misty Cliffs,39.49,18,15,7,14,Hills,944
Windy Ridges,20.43,19,13,6,8,Hills,57
Endless Grassland,28.99,16,15,8,32,Savannah,104
Open Glades,10.41,16,6,6,36,Meadow,750
Green Ridges,16.82,17,13,8,24,Hills,27
Flooded Marshes,29.85,19,2,2,5,Wetland,592
Flooded Marsh,34.77,18,15,7,20,Wetland,54
Misty Grove,15.8,15,16,9,47,Forest,996
Dark Forest,9.65,15,15,7,43,Forest,346
Flowering Valleys,18.76,18,9,8,12,Meadow,241
Barren Wastes,37.06,17,11,1,27,Desert,166
Swampy Lochs,39.72,16,19,10,33,Wetland,494
Serene Glades,33.31,15,13,6,41,Meadow,907
Dark Woodland,7.52,19,4,4,4,Forest,733
Green Jungle,15.32,19,15,9,3,Forest,791
Green Grove,26.52,15,5,3,45,Forest,256
Hot Expanse,32.25,15,6,2,44,Desert,404
Damp Swamps,0.83,18,8,4,16,Wetland,278
Marshy Wetlands,0.59,15,5,1,49,Wetland,815
Swampy Bog,5.68,15,3,1,48,Wetland,773
Flowering Glade,3.48,17,14,7,25,Meadow,226
Foggy Wetland,15.67,16,4,2,35,Wetland,37
Serene Glade,6.1,16,9,7,36,Meadow,154
Open Stretch,1.17,19,8,2,4,Savannah,858
Sprawling Grassland,39.77,16,7,3,38,Savannah,470
Ancient Jungle,21.09,18,11,3,13,Forest,969
Peaceful Glade,35.48,19,10,3,5,Meadow,178
Flooded Bogs,20.59,19,12,9,5,Wetland,430
Wild Savannah,27.55,17,15,10,27,Savannah,195
Peaceful Valley,15.69,17,17,7,29,Meadow,593
Peaceful Clearing,33.38,18,19,10,19,Meadow,443
Misty Uplands,13.75,19,16,9,9,Hills,300
Windy Knolls,18.42,19,12,5,5,Hills,941
Steep Cliffs,34.71,15,19,10,49,Hills,677
Damp Lochs,10.41,19,11,5,10,Wetland,47
Bogged Marsh,14.41,18,8,3,17,Wetland,576
Open Savannah,17.45,17,12,5,26,Savannah,620
Dense Woodlands,20.97,15,13,5,44,Forest,483
Open Valleys,25.19,18,8,6,11,Meadow,629
Rolling Uplands,11.17,15,11,5,45,Hills,36
Fertile Field,6.9,18,17,7,20,Fields,697
Wide Pasture,36.26,16,11,7,36,Fields,887
High Ridges,31.86,15,7,6,46,Hills,324
Fertile Fields,9.04,18,6,6,11,Fields,892
Open Pasture,17.38,17,11,8,28,Fields,306
Misty Woods,26.69,16,18,9,37,Forest,835
Dense Woodland,23.99,15,9,4,43,Forest,970
Flooded Bog,25.26,16,3,3,40,Wetland,843
Flooded Ponds,21.26,18,4,4,11,Wetland,400
Damp Ponds,6.93,16,14,10,36,Wetland,901
Sprawling Stretch,14.42,18,6,0,12,Savannah,170
Serene Clearing,12.58,16,9,3,38,Meadow,644
Enchanted Copse,14.22,15,4,1,46,Forest,329
Sunny Fields,6.16,18,15,7,17,Fields,211
Flooded Wetlands,13.43,15,9,0,41,Wetland,724
Enchanted Canopy,32.17,15,10,6,44,Forest,530
Open Grassland,9.93,19,4,3,10,Savannah,993
Endless Savannah,23.7,19,14,4,10,Savannah,25
Peaceful Creek,31.99,18,16,9,12,Meadow,961
Cursed Swamps,27.9,16,11,8,34,Wetland,832
Serene Valleys,6.53,15,11,6,48,Meadow,754
Damp Swamp,33.78,19,11,8,8,Wetland,146
Green Highlands,2.04,17,7,5,29,Hills,478
Bogged Swamps,4.31,16,18,8,39,Wetland,48
Sunny Field,26.27,17,11,10,26,Fields,778
Lifeless Sands,30.05,16,10,2,39,Desert,428
Fertile Plains,3.48,19,5,2,5,Fields,168
Wide Grassland,6.71,15,10,9,48,Fields,306
Endless Plain,23.95,17,14,4,24,Savannah,283
Serene Valley,28.06,15,16,10,49,Meadow,306
Open Field,14.75,17,12,10,21,Fields,653
Lush Plain,38.69,17,7,6,23,Fields,155
Muddy Bog,12.35,18,14,10,16,Wetland,767
Sandy Basin,32.63,18,8,0,16,Desert,919
Golden Steppe,20.93,18,10,8,18,Savannah,118
Flowering Meadow,27.59,18,11,5,15,Meadow,149
Peaceful Meadow,19.99,15,9,4,49,Meadow,520
Enchanted Farmland,35.83,17,7,5,24,Fields,693
Dead Basin,39.58,19,12,2,4,Desert,466
Enchanted Woodland,29.81,16,13,10,35,Forest,238
Sunny Plains,31.5,19,4,3,4,Fields,855
Steep Uplands,23.19,17,16,8,25,Hills,434
Green Grassland,19.38,15,5,3,44,Fields,155
Dark Canopy,25.22,15,11,8,42,Forest,516
Green Plains,21.98,15,17,9,46,Fields,54
Bogged Lakes,35.6,19,13,5,1,Wetland,687
Steep Knolls,24.03,16,14,5,39,Hills,752
Dark Woods,23.29,18,10,7,18,Forest,163
Misty Woodland,11.65,15,13,9,49,Forest,987
Enchanted Savannah,2.99,15,3,2,48,Savannah,246
Flowering Meadows,10.71,18,10,5,17,Meadow,589
Green Fields,11.91,15,11,2,45,Fields,225
Enchanted Ponds,9.9,18,10,9,18,Wetland,99
Rolling Ridges,20.5,17,8,5,27,Hills,254
Misty Copse,30.67,15,15,10,47,Forest,87
Dense Thicket,12.59,15,9,7,49,Forest,205
Flowering Clearing,2.83,16,7,3,36,Meadow,52
Swampy Swamps,3.36,16,8,3,37,Wetland,391
Enchanted Woods,7.0,19,16,8,4,Forest,6
Dense Copse,11.31,15,16,7,46,Forest,14
Endless Steppe,32.13,17,12,9,22,Savannah,886
Ancient Copse,21.62,20,6,1,0,Forest,289
Lush Farmland,13.14,16,14,4,38,Fields,123
Rolling Mountains,11.71,16,14,4,36,Hills,75
Hot Basin,31.55,16,6,2,34,Desert,123
Dead Expanse,36.91,18,4,2,15,Desert,785
Muddy Lakes,5.38,15,17,10,49,Wetland,635
Steep Ridges,19.73,18,4,2,19,Hills,176
Yellow Prairie,11.32,18,13,10,18,Savannah,271
Foggy Marsh,26.16,19,7,0,3,Wetland,171
Badlands of Death,40,20,2,0,50,Desert,1000
Quiet Creek,16.35,18,15,8,15,Meadow,891
High Knolls,6.8,15,16,10,46,Hills,123
Muddy Marsh,28.59,18,2,0,18,Wetland,637
Green Thicket,24.1,15,8,8,47,Forest,52
Dark Copse,0.75,18,16,7,15,Forest,973
Enchanted Highlands,39.79,18,15,10,11,Hills,576
Wild Stretch,8.05,17,10,5,29,Savannah,710
Peaceful Glades,22.2,18,13,10,20,Meadow,201
Flowering Glades,29.52,19,11,3,5,Meadow,452
Open Glade,20.0,16,9,8,35,Meadow,636
Cursed Ponds,26.87,17,8,5,29,Wetland,156
Fertile Farmland,26.33,19,12,4,2,Fields,736
Enchanted Valleys,10.06,17,12,10,29,Meadow,420
Enchanted Woodlands,25.61,15,7,1,42,Forest,131
Enchanted Glades,27.95,19,4,4,4,Meadow,825
Foggy Ponds,18.91,17,10,3,26,Wetland,841
Muddy Lochs,31.96,19,6,5,10,Wetland,869
Rolling Cliffs,18.39,17,0,0,29,Hills,378
Misty Knolls,10.48,17,7,0,28,Hills,856
Enchanted Meadow,21.46,15,10,10,45,Meadow,90
Green Field,0.32,18,10,6,20,Fields,662
Cursed Marshes,12.4,15,5,4,49,Wetland,333
Wide Field,2.63,19,8,1,10,Fields,665
Lush Field,36.88,15,6,4,42,Fields,112
Dense Jungle,35.14,17,6,6,22,Forest,834
Foggy Wetlands,20.63,18,8,8,11,Wetland,34
Wild Prairie,6.23,17,4,1,27,Savannah,164
Misty Ridges,22.04,15,9,1,41,Hills,36
Open Fields,24.42,19,11,6,3,Fields,12
Dense Grove,39.56,19,17,10,10,Forest,950
High Mountains,37.5,19,10,9,1,Hills,167
Ancient Woods,1.21,16,18,8,35,Forest,869
Swampy Bogs,36.79,16,15,7,35,Wetland,176
Peaceful Valleys,25.9,19,8,2,2,Meadow,815
Open Prairie,29.8,15,6,3,41,Savannah,258
Green Pasture,21.0,17,12,2,29,Fields,469
Quiet Glade,33.55,19,6,4,9,Meadow,180
Dense Forest,13.65,15,6,3,44,Forest,438
Yellow Savannah,16.1,19,13,9,3,Savannah,885
Enchanted Expanse,35.01,19,4,2,10,Desert,868
Open Creek,37.38,18,19,10,15,Meadow,75
Misty Hills,1.59,17,6,6,29,Hills,901
Green Forest,5.84,17,9,6,25,Forest,526
Damp Marshes,2.41,19,11,9,3,Wetland,486
Enchanted Swamp,25.99,17,6,5,30,Wetland,843
Bogged Loch,22.73,17,3,3,26,Wetland,996
Damp Marsh,10.19,20,13,6,0,Wetland,193
Wild Steppe,8.31,19,15,5,9,Savannah,898
Cursed Lochs,1.23,17,17,7,29,Wetland,394
Enchanted Prairie,4.25,19,14,5,7,Savannah,98
Enchanted Creek,34.99,17,13,3,30,Meadow,602
Misty Forest,12.94,15,7,7,42,Forest,629
Marshy Marsh,7.22,20,1,0,0,Wetland,524
Steep Highlands,8.68,15,4,1,46,Hills,670
Yellow Steppe,4.89,20,12,7,0,Savannah,184
Ideal Location,20,0,20,10,0,Meadow,250
Stikker Creek,19.8,0,19,10,0,Meadow,245
Quiet Glades,20.64,3,14,8,2,Meadow,222
Peaceful Meadows,21.83,2,18,10,2,Meadow,232
Quiet Valley,18.99,2,16,6,2,Meadow,260
Flowering Fields,18.38,1,19,9,2,Meadow,260
Serene Meadow,19.8,1,16,6,2,Meadow,289
